1 8000 1968 9968
2 7971 1968 9939
3 7946 1969 9915
4 7915 1969 9884
5 7886 1969 9855
6 7863 1969 9832
7 7828 1968 9796
8 7795 1967 9762
9 7759 1967 9726
10 7727 1966 9693
11 7701 1965 9666
12 7672 1965 9637
13 7639 1964 9603
14 7603 1963 9566
15 7569 1964 9533
16 7536 1963 9499
17 7513 1962 9475
18 7481 1961 9442
19 7460 1960 9420
20 7434 1961 9395
21 7408 1962 9370
22 7377 1961 9338
23 7348 1962 9310
24 7318 1962 9280
25 7286 1961 9247
26 7260 1961 9221
27 7233 1960 9193
28 7202 1960 9162
29 7171 1960 9131
30 7138 1961 9099
31 7110 1962 9072
32 7075 1963 9038
33 7037 1963 9000
34 7006 1962 8968
35 6981 1961 8942
36 6949 1962 8911
37 6924 1963 8887
38 6898 1962 8860
39 6878 1962 8840
40 6848 1963 8811
41 6822 1964 8786
42 6794 1964 8758
43 6771 1963 8734
44 6750 1964 8714
45 6721 1963 8684
46 6699 1964 8663
47 6677 1963 8640
48 6649 1962 8611
49 6623 1963 8586
50 6595 1963 8558
51 6570 1963 8533
52 6537 1964 8501
53 6510 1964 8474
54 6489 1964 8453
55 6466 1965 8431
56 6445 1965 8410
57 6421 1965 8386
58 6393 1966 8359
59 6371 1966 8337
60 6349 1965 8314
61 6323 1965 8288
62 6302 1965 8267
63 6277 1965 8242
64 6259 1965 8224
65 6234 1965 8199
66 6209 1965 8174
67 6191 1964 8155
68 6168 1963 8131
69 6146 1963 8109
70 6121 1963 8084
71 6107 1963 8070
72 6083 1964 8047
73 6057 1965 8022
74 6029 1965 7994
75 6006 1966 7972
76 5986 1966 7952
77 5967 1965 7932
78 5943 1964 7907
79 5911 1964 7875
80 5888 1963 7851
81 5860 1964 7824
82 5830 1964 7794
83 5804 1964 7768
84 5779 1964 7743
85 5753 1963 7716
86 5731 1963 7694
87 5710 1962 7672
88 5688 1962 7650
89 5667 1961 7628
90 5642 1961 7603
91 5616 1960 7576
92 5592 1958 7550
93 5571 1957 7528
94 5557 1956 7513
95 5539 1955 7494
96 5522 1955 7477
97 5503 1955 7458
98 5478 1954 7432
99 5449 1954 7403
100 5429 1954 7383
101 5408 1954 7362
102 5390 1953 7343
103 5367 1954 7321
104 5342 1954 7296
105 5319 1954 7273
106 5292 1954 7246
107 5263 1954 7217
108 5238 1954 7192
109 5215 1953 7168
110 5194 1952 7146
111 5173 1951 7124
112 5154 1951 7105
113 5137 1950 7087
114 5115 1949 7064
115 5086 1949 7035
116 5068 1949 7017
117 5047 1948 6995
118 5032 1947 6979
119 5013 1947 6960
120 4993 1948 6941
121 4969 1948 6917
122 4950 1947 6897
123 4929 1947 6876
124 4914 1947 6861
125 4897 1946 6843
126 4879 1946 6825
127 4862 1944 6806
128 4844 1944 6788
129 4828 1945 6773
130 4811 1944 6755
131 4795 1944 6739
132 4774 1944 6718
133 4750 1945 6695
134 4735 1944 6679
135 4717 1943 6660
136 4695 1943 6638
137 4672 1943 6615
138 4655 1942 6597
139 4633 1941 6574
140 4617 1939 6556
141 4597 1938 6535
142 4577 1938 6515
143 4558 1937 6495
144 4539 1938 6477
145 4526 1937 6463
146 4507 1937 6444
147 4493 1937 6430
148 4482 1936 6418
149 4472 1935 6407
150 4455 1934 6389
151 4437 1934 6371
152 4422 1933 6355
153 4410 1932 6342
154 4399 1932 6331
155 4381 1932 6313
156 4363 1932 6295
157 4349 1932 6281
158 4333 1931 6264
159 4314 1930 6244
160 4299 1931 6230
161 4279 1930 6209
162 4264 1930 6194
163 4244 1930 6174
164 4231 1929 6160
165 4216 1928 6144
166 4198 1928 6126
167 4175 1928 6103
168 4160 1927 6087
169 4138 1926 6064
